,EUR_NGN_1. open,EUR_NGN_2. high,EUR_NGN_3. low,EUR_NGN_4. close,TRENDS_Euro to Naira
2020-07-28,455.38,455.38,454.43,454.76,67.0
2020-07-29,455.53,456.71,455.53,456.69,67.0
2020-07-30,456.29,457.36,456.04,456.82,67.0
2020-08-03,443.65,446.33,443.51,446.24,67.0
2020-08-06,449.92,450.09,449.89,450.09,67.0
2020-08-07,443.66,446.01,443.66,445.92,67.0
2020-08-10,447.89,447.89,447.7,447.84,67.0
2020-08-13,451.65,451.65,448.8,448.88,67.0
2020-08-17,452.16,452.22,452.11,452.21,67.0
2020-08-18,452.21,454.68,452.21,454.08,67.0
2020-09-09,449.76,449.76,448.97,448.97,67.0
2020-09-10,451.23,451.23,450.39,450.51,67.0
2020-09-11,451.13,451.49,450.71,450.78,67.0
2020-09-21,447.64,448.43,447.61,448.43,67.0
2020-09-22,448.77,448.8,446.18,446.33,67.0
2020-09-24,444.33,444.33,443.84,443.98,67.0
2020-09-25,442.26,442.31,442.19,442.28,67.0
2020-09-28,442.87,442.87,442.33,442.64,67.0
2020-09-30,444.84,446.64,444.65,446.44,67.0
2020-10-01,447.6,449.04,446.81,449.04,57.0
2020-10-13,446.99,447.13,446.95,447.13,57.0
2020-10-14,447.86,448.01,447.68,447.68,57.0
2020-10-15,444.42,444.48,444.39,444.39,57.0
2020-10-16,446.44,446.49,445.59,446.26,57.0
2020-10-19,448.26,449.03,447.7,447.79,57.0
2020-10-20,450.32,451.11,449.77,449.96,57.0
2020-10-21,450.99,452.99,450.99,452.43,57.0
2020-10-22,451.3,451.3,450.25,450.39,57.0
2020-10-23,450.11,451.89,450.1,451.89,57.0
2020-10-26,450.43,450.54,449.94,450.03,57.0
2020-10-27,449.15,450.12,449.15,449.53,57.0
2020-10-28,446.87,447.0,446.87,447.0,57.0
2020-10-29,444.79,444.79,444.26,444.31,57.0
2020-10-30,444.27,444.52,443.03,443.03,57.0
2020-11-02,441.84,443.61,441.78,443.61,57.0
2020-11-03,444.83,449.95,444.83,449.7,57.0
2020-11-06,454.48,454.63,454.48,454.56,57.0
2020-11-09,453.45,453.7,448.68,449.04,57.0
2020-11-10,448.77,449.72,447.94,447.94,57.0
2020-11-12,447.85,448.92,447.68,447.79,57.0
2020-11-13,448.93,449.28,448.93,449.22,57.0
2020-11-16,450.85,450.98,449.74,449.82,57.0
2020-11-17,450.99,453.13,450.98,453.0,57.0
2020-11-18,452.46,452.46,451.83,451.93,57.0
2020-11-19,451.88,453.18,451.88,453.01,57.0
2020-11-20,452.34,452.34,451.02,451.58,57.0
2020-11-23,449.78,450.46,449.78,450.44,57.0
2020-11-24,452.5,453.26,452.2,453.22,57.0
2020-11-25,453.35,454.79,453.26,453.79,57.0
2020-11-26,454.8,454.9,454.79,454.9,57.0
2020-11-27,454.75,454.75,454.61,454.7,57.0
2020-11-30,454.7,454.75,454.61,454.68,57.0
2020-12-01,454.98,458.95,454.98,458.95,67.0
2020-12-02,458.89,461.57,458.89,461.52,67.0
2020-12-03,461.69,461.88,461.15,461.26,67.0
2020-12-04,462.55,462.71,462.47,462.71,67.0
2020-12-07,461.97,461.97,461.84,461.84,67.0
2020-12-08,460.77,461.16,460.49,461.08,67.0
2020-12-09,460.05,460.28,459.55,459.62,67.0
2020-12-10,461.04,461.21,460.83,460.83,67.0
2020-12-11,461.86,461.95,460.13,460.16,67.0
2020-12-14,460.49,460.49,460.01,460.13,67.0
2020-12-15,461.8,462.03,460.96,461.97,67.0
2020-12-16,462.25,463.36,462.25,462.96,67.0
2020-12-17,465.69,465.98,465.22,465.22,67.0
2020-12-18,464.04,465.6,464.01,465.6,67.0
2020-12-21,463.39,463.74,463.39,463.56,67.0
2020-12-22,464.12,464.12,462.25,462.25,67.0
2020-12-23,466.03,468.32,466.03,468.15,67.0
2020-12-24,462.49,463.94,462.43,463.39,67.0
2020-12-29,463.62,467.45,463.62,467.45,67.0
2021-01-08,465.74,465.77,465.28,465.28,67.0
2021-01-19,461.18,461.24,461.05,461.2,67.0
2021-01-22,464.05,464.15,464.02,464.08,67.0
2021-01-25,463.18,463.85,463.18,463.77,67.0
2021-01-26,464.34,464.34,464.24,464.24,67.0
2021-01-27,460.32,460.6,460.24,460.26,67.0
2021-02-01,459.09,459.09,458.97,459.06,60.0
2021-02-02,457.32,457.32,457.16,457.2,60.0
2021-02-03,457.52,457.82,457.52,457.82,60.0
2021-02-05,455.05,458.0,454.8,457.99,60.0
2021-02-09,458.41,458.45,458.41,458.45,60.0
2021-02-10,460.92,461.45,460.84,461.27,60.0
2021-02-11,461.3,461.34,461.23,461.28,60.0
2021-02-12,461.38,461.38,461.28,461.32,60.0
2021-02-16,460.53,460.75,460.53,460.75,60.0
2021-02-17,457.66,457.87,457.66,457.74,60.0
2021-02-18,459.63,459.63,459.52,459.57,60.0
2021-02-19,461.17,461.54,461.17,461.54,60.0
2021-02-22,462.84,462.91,462.81,462.85,60.0
2021-02-23,461.91,462.11,461.91,462.11,60.0
2021-02-24,462.4,462.43,461.82,461.88,60.0
2021-02-25,462.71,462.71,462.5,462.68,60.0
2021-03-02,458.35,459.93,458.23,459.81,60.0
2021-03-03,458.83,459.32,458.82,459.27,60.0
2021-03-04,458.3,458.49,458.3,458.49,60.0
2021-03-05,453.17,453.18,453.03,453.09,60.0
2021-03-09,450.19,453.02,450.14,452.03,60.0
2021-03-10,452.72,452.83,452.6,452.83,60.0
2021-03-11,453.85,455.82,453.81,455.82,60.0
2021-03-12,456.12,456.12,454.61,455.22,60.0
2021-03-15,453.81,453.89,453.75,453.77,60.0
2021-03-16,454.33,454.4,452.21,452.21,60.0
2021-03-17,453.12,453.12,452.93,452.93,60.0
2021-03-18,454.33,454.58,453.23,453.23,60.0
2021-03-19,453.53,453.57,452.8,452.8,60.0
2021-03-22,452.83,453.68,452.8,453.66,60.0
2021-03-23,451.58,451.79,450.8,450.82,60.0
2021-03-24,448.51,449.92,448.51,449.78,60.0
2021-03-25,447.25,448.71,447.25,448.71,60.0
2021-03-26,448.68,448.8,447.77,447.92,60.0
2021-03-29,446.74,447.06,446.74,446.93,60.0
2021-03-30,445.74,445.82,445.71,445.75,60.0
2021-03-31,444.98,447.6,444.87,447.29,60.0
2021-04-01,448.46,448.52,448.45,448.52,61.0
2021-04-02,447.21,448.12,447.21,447.99,61.0
2021-04-12,452.95,453.18,452.86,453.13,61.0
2021-04-13,454.96,456.42,454.78,456.42,61.0
